country,co2
Afghanistan,12.16
Albania,4.535
Algeria,154.995
Andorra,0.466
Angola,22.198
Anguilla,0.123
Antarctica,0
Antigua and Barbuda,0.43
Argentina,156.978
Armenia,5.89
Aruba,0.753
Australia,391.892
Austria,60.635
Azerbaijan,37.72
Bahamas,2.338
Bahrain,34.96
Bangladesh,92.842
Barbados,1.087
Belarus,57.445
Belgium,83.749
Belize,0.583
Benin,6.703
Bermuda,0.624
Bhutan,1.925
Bolivia,20.7
Bonaire Sint Eustatius and Saba,0.301
Bosnia and Herzegovina,21.418
Botswana,6.519
Brazil,467.384
British Virgin Islands,0.139
Brunei,10.158
Bulgaria,37.444
Burkina Faso,3.97
Burundi,0.602
Cambodia,15.326
Cameroon,6.889
Canada,535.823
Cape Verde,0.55
Central African Republic,0.188
Chad,0.912
Chile,81.171
China,10667.887
Christmas Island,0
Colombia,89.105
Comoros,0.258
Congo,3.117
Cook Islands,0.079
Costa Rica,7.907
Cote d'Ivoire,10.071
Croatia,16.982
Cuba,20.152
Curacao,3.335
Cyprus,6.496
Czechia,87.975
Democratic Republic of Congo,2.477
Denmark,26.195
Djibouti,0.351
Dominica,0.139
Dominican Republic,27.769
Ecuador,30.932
Egypt,213.457
El Salvador,6.124
Equatorial Guinea,10.265
Eritrea,0.722
Estonia,10.452
Eswatini,0.956
Ethiopia,14.665
Faeroe Islands,0.684
Fiji,1.393
Finland,39.288
France,276.634
French Guiana,0.728
French Polynesia,0.828
Gabon,4.298
Gambia,0.5
Georgia,9.968
Germany,644.31
Ghana,16.001
Greece,52.235
Greenland,0.514
Grenada,0.295
Guadeloupe,2.562
Guatemala,18.938
Guinea,3.394
Guinea-Bissau,0.287
Guyana,2.213
Haiti,2.92
Honduras,9.66
Hong Kong,31.239
Hungary,48.275
Iceland,2.936
India,2441.792
Indonesia,589.5
Iran,745.035
Iraq,210.829
Ireland,33.349
Israel,56.351
Italy,303.815
Jamaica,7.429
Japan,1030.775
Jordan,25.487
Kazakhstan,291.336
Kenya,16.146
Kiribati,0.068
Kosovo,7.89
Kuwait,88.935
Kyrgyzstan,11.508
Laos,33.847
Latvia,6.773
Lebanon,25.969
Lesotho,2.183
Liberia,1.009
Libya,50.721
Liechtenstein,0.141
Lithuania,13.799
Luxembourg,8.175
Madagascar,3.68
Malawi,1.395
Malaysia,272.607
Maldives,1.796
Mali,3.39
Malta,1.595
Marshall Islands,0.151
Martinique,2.348
Mauritania,3.377
Mauritius,3.979
Mayotte,0.306
Mexico,356.968
Moldova,5.147
Mongolia,88.442
Montenegro,2.31
Montserrat,0.025
Morocco,64.536
Mozambique,6.571
Myanmar,36.326
Namibia,3.877
Nauru,0.057
Nepal,16.958
Netherlands,138.1
New Caledonia,8.693
New Zealand,33.475
Nicaragua,5.074
Niger,1.69
Nigeria,125.463
Niue,0.011
North Korea,29.311
North Macedonia,7.147
Norway,41.283
Oman,62.163
Pakistan,234.755
Palau,0.219
Palestine,2.899
Panama,10.78
Papua New Guinea,6.652
Paraguay,7.57
Peru,44.706
Philippines,136.018
Poland,299.593
Portugal,40.388
Puerto Rico,0
Qatar,106.655
Romania,71.475
Russia,1577.136
Rwanda,1.033
Saint Helena,0.009
Saint Kitts and Nevis,0.212
Saint Lucia,0.44
Saint Pierre and Miquelon,0.051
Saint Vincent and the Grenadines,0.209
Samoa,0.246
Sao Tome and Principe,0.113
Saudi Arabia,625.508
Senegal,10.451
Serbia,43.135
Seychelles,0.491
Sierra Leone,0.877
Singapore,45.504
Sint Maarten (Dutch part),0.623
Slovakia,30.73
Slovenia,12.563
Solomon Islands,0.299
Somalia,0.562
South Africa,451.957
South Korea,597.605
South Sudan,1.179
Spain,208.915
Sri Lanka,21.106
Sudan,18.859
Suriname,2.224
Sweden,38.635
Switzerland,32.298
Syria,30.532
Taiwan,273.175
Tajikistan,9.448
Tanzania,10.939
Thailand,257.766
Timor,0.526
Togo,2.192
Tonga,0.144
Trinidad and Tobago,35.509
Tunisia,28.127
Turkey,392.794
Turkmenistan,75.338
Turks and Caicos Islands,0.203
Tuvalu,0.008
Uganda,4.892
Ukraine,213.909
United Arab Emirates,150.268
United Kingdom,329.579
United States,4712.771
Uruguay,5.84
Uzbekistan,112.784
Vanuatu,0.182
Venezuela,84.609
Vietnam,254.303
Yemen,9.768
Zambia,6.573
Zimbabwe,10.531
